t, reading, IMUVal 
79.66000, 253.00000, 27334.00000 
79.71000, 253.00000, 29142.00000 
79.76000, 254.00000, 28468.00000 
79.81000, 255.00000, 30012.00000 
79.86000, 256.00000, 30264.00000 
79.91000, 257.00000, 31732.00000 
79.96000, 258.00000, 32884.00000 
80.01000, 259.00000, 29976.00000 
80.06000, 260.00000, 30312.00000 
80.11000, 260.00000, 29508.00000 
80.16000, 262.00000, 29862.00000 
80.21000, 263.00000, 29712.00000 
80.26000, 265.00000, 28088.00000 
80.31000, 265.00000, 25940.00000 
80.36000, 264.00000, 25434.00000 
80.41000, 265.00000, 22226.00000 
80.46000, 266.00000, 20398.00000 
80.51000, 271.00000, 21704.00000 
80.56000, 281.00000, 21568.00000 
80.61000, 296.00000, 21688.00000 
80.66000, 307.00000, 23996.00000 
80.71000, 298.00000, 25020.00000 
80.76000, 277.00000, 25062.00000 
80.81000, 266.00000, 25724.00000 
80.86000, 258.00000, 26204.00000 
80.91000, 255.00000, 27704.00000 
80.96000, 255.00000, 30200.00000 
81.01000, 255.00000, 32420.00000 
81.06000, 256.00000, 30868.00000 
81.11000, 257.00000, 29048.00000 
81.16000, 258.00000, 28946.00000 
81.21000, 259.00000, 31304.00000 
81.26000, 261.00000, 31414.00000 
81.31000, 262.00000, 29708.00000 
81.36000, 262.00000, 30702.00000 
81.41000, 262.00000, 31680.00000 
81.46000, 263.00000, 31558.00000 
81.51000, 265.00000, 29656.00000 
81.56000, 267.00000, 27138.00000 
81.61000, 266.00000, 25502.00000 
81.66000, 265.00000, 23926.00000 
81.71000, 267.00000, 19684.00000 
81.76000, 270.00000, 19762.00000 
81.81000, 276.00000, 21682.00000 
81.86000, 290.00000, 20660.00000 
81.91000, 314.00000, 21228.00000 
81.96000, 346.00000, 23804.00000 
82.01000, 330.00000, 27742.00000 
82.06000, 280.00000, 26560.00000 
82.11000, 258.00000, 25146.00000 
82.16000, 252.00000, 23356.00000 
82.21000, 250.00000, 24122.00000 
82.26000, 250.00000, 27388.00000 
82.31000, 252.00000, 27042.00000 
82.36000, 253.00000, 28846.00000 
82.41000, 254.00000, 30246.00000 
82.46000, 256.00000, 31266.00000 
82.51000, 257.00000, 29976.00000 
82.56000, 258.00000, 28930.00000 
82.61000, 260.00000, 27716.00000 
82.66000, 261.00000, 28578.00000 
82.71000, 263.00000, 28812.00000 
82.76000, 264.00000, 28702.00000 
82.81000, 263.00000, 27714.00000 
82.86000, 263.00000, 26736.00000 
82.91000, 264.00000, 27176.00000 
82.96000, 264.00000, 25684.00000 
83.01000, 265.00000, 22488.00000 
83.06000, 269.00000, 20786.00000 
83.11000, 278.00000, 21358.00000 
83.16000, 289.00000, 23470.00000 
83.21000, 288.00000, 24520.00000 
83.26000, 285.00000, 25046.00000 
83.31000, 269.00000, 23424.00000 
83.36000, 263.00000, 24734.00000 
83.41000, 260.00000, 27038.00000 
83.46000, 258.00000, 28760.00000 
83.51000, 258.00000, 30508.00000 
83.56000, 258.00000, 34134.00000 
83.61000, 259.00000, 32612.00000 
83.66000, 259.00000, 32756.00000 
83.71000, 259.00000, 31952.00000 
83.76000, 261.00000, 29672.00000 
83.81000, 262.00000, 28980.00000 
83.86000, 264.00000, 27672.00000 
83.91000, 264.00000, 28028.00000 
83.96000, 264.00000, 28542.00000 
84.01000, 265.00000, 29842.00000 
84.06000, 268.00000, 28934.00000 
84.11000, 268.00000, 27544.00000 
84.16000, 266.00000, 26286.00000 
84.21000, 267.00000, 24904.00000 
84.26000, 268.00000, 21008.00000 
84.31000, 269.00000, 17642.00000 
84.36000, 276.00000, 16806.00000 
84.41000, 290.00000, 21484.00000 
84.46000, 300.00000, 24024.00000 
84.51000, 292.00000, 23774.00000 
84.56000, 276.00000, 25134.00000 
84.61000, 266.00000, 25394.00000 
84.66000, 261.00000, 25918.00000 
84.71000, 259.00000, 27920.00000 
84.76000, 258.00000, 30162.00000 
84.81000, 259.00000, 33270.00000 
84.86000, 260.00000, 31282.00000 
84.91000, 261.00000, 32140.00000 
84.96000, 261.00000, 31082.00000 
85.01000, 262.00000, 29778.00000 
85.06000, 263.00000, 32290.00000 
85.11000, 263.00000, 30496.00000 
85.16000, 264.00000, 29664.00000 
85.21000, 264.00000, 29428.00000 
85.26000, 264.00000, 29998.00000 
85.31000, 266.00000, 29760.00000 
85.36000, 268.00000, 28052.00000 
85.41000, 266.00000, 24688.00000 
85.46000, 266.00000, 23244.00000 
85.51000, 267.00000, 18448.00000 
85.56000, 271.00000, 17680.00000 
85.61000, 279.00000, 19324.00000 
85.66000, 289.00000, 20598.00000 
85.71000, 302.00000, 21466.00000 
85.76000, 318.00000, 24376.00000 
85.81000, 312.00000, 24776.00000 
85.86000, 273.00000, 22562.00000 
85.91000, 258.00000, 17774.00000 
85.96000, 253.00000, 20480.00000 
86.01000, 252.00000, 22548.00000 
86.06000, 253.00000, 25864.00000 
86.11000, 254.00000, 29176.00000 
86.16000, 255.00000, 28892.00000 
86.21000, 256.00000, 31142.00000 
86.26000, 257.00000, 31594.00000 
86.31000, 259.00000, 30354.00000 
86.36000, 260.00000, 30430.00000 
86.41000, 260.00000, 28210.00000 
86.46000, 261.00000, 28300.00000 
86.51000, 261.00000, 29206.00000 
86.56000, 262.00000, 29918.00000 
86.61000, 263.00000, 28598.00000 
86.66000, 265.00000, 25980.00000 
86.71000, 264.00000, 24768.00000 
86.76000, 264.00000, 24162.00000 
86.81000, 265.00000, 20078.00000 
86.86000, 270.00000, 19470.00000 
86.91000, 280.00000, 21736.00000 
86.96000, 294.00000, 23006.00000 
87.01000, 308.00000, 23658.00000 
