t, ir, imu 
2319.10000, 232.00000, 22432.00000
2319.15000, 232.00000, 22388.00000
2319.20000, 232.00000, 22574.00000
2319.25000, 232.00000, 22432.00000
2319.30000, 228.00000, 22632.00000
2319.35000, 230.00000, 22352.00000
2319.40000, 230.00000, 22432.00000
2319.45000, 231.00000, 22480.00000
2319.50000, 231.00000, 22396.00000
2319.55000, 231.00000, 22422.00000
2319.60000, 231.00000, 22318.00000
2319.66000, 234.00000, 22556.00000
2319.70000, 219.00000, 22324.00000
2319.75000, 230.00000, 22496.00000
2319.80000, 231.00000, 22524.00000
2319.85000, 232.00000, 22410.00000
2319.90000, 229.00000, 22554.00000
2319.95000, 232.00000, 22434.00000
2320.00000, 232.00000, 22476.00000
2320.05000, 229.00000, 22450.00000
2320.10000, 232.00000, 22434.00000
2320.15000, 231.00000, 22526.00000
2320.20000, 230.00000, 22458.00000
2320.25000, 233.00000, 22540.00000
2320.30000, 233.00000, 22370.00000
2320.35000, 233.00000, 22480.00000
2320.41000, 232.00000, 22372.00000
2320.45000, 223.00000, 22426.00000
2320.50000, 233.00000, 22406.00000
2320.55000, 227.00000, 22470.00000
2320.60000, 232.00000, 22362.00000
2320.65000, 229.00000, 22452.00000
2320.71000, 226.00000, 22428.00000
2320.75000, 232.00000, 22382.00000
2320.80000, 232.00000, 22380.00000
2320.85000, 233.00000, 22510.00000
2320.91000, 233.00000, 22492.00000
2320.95000, 227.00000, 22402.00000
2321.01000, 214.00000, 22434.00000
2321.05000, 233.00000, 22460.00000
2321.10000, 233.00000, 22396.00000
2321.16000, 232.00000, 22398.00000
2321.21000, 231.00000, 22416.00000
2321.25000, 233.00000, 22416.00000
2321.31000, 228.00000, 22426.00000
2321.35000, 212.00000, 22456.00000
2321.41000, 230.00000, 22418.00000
2321.46000, 221.00000, 22424.00000
2321.51000, 233.00000, 22510.00000
2321.55000, 233.00000, 22464.00000
2321.61000, 232.00000, 22452.00000
2321.66000, 234.00000, 22466.00000
2321.71000, 224.00000, 22276.00000
2321.75000, 233.00000, 22536.00000
2321.81000, 233.00000, 22356.00000
2321.85000, 218.00000, 22416.00000
2321.90000, 233.00000, 22414.00000
2321.96000, 232.00000, 22306.00000
2322.00000, 233.00000, 22318.00000
2322.05000, 226.00000, 22478.00000
2322.10000, 221.00000, 22462.00000
2322.16000, 224.00000, 22466.00000
2322.20000, 230.00000, 22452.00000
2322.26000, 226.00000, 22408.00000
2322.30000, 221.00000, 22438.00000
2322.35000, 221.00000, 22428.00000
2322.41000, 233.00000, 22396.00000
2322.46000, 227.00000, 22430.00000
2322.50000, 225.00000, 22384.00000
2322.56000, 231.00000, 22456.00000
2322.60000, 226.00000, 22570.00000
2322.66000, 233.00000, 22372.00000
2322.71000, 232.00000, 22424.00000
2322.76000, 233.00000, 22412.00000
2322.80000, 232.00000, 22368.00000
2322.86000, 233.00000, 22402.00000
2322.91000, 232.00000, 22486.00000
2322.96000, 223.00000, 22426.00000
2323.01000, 233.00000, 22412.00000
2323.06000, 234.00000, 22458.00000
2323.10000, 217.00000, 22360.00000
2323.16000, 233.00000, 22382.00000
2323.21000, 232.00000, 22436.00000
2323.26000, 218.00000, 22402.00000
2323.31000, 233.00000, 22428.00000
2323.36000, 233.00000, 22484.00000
2323.41000, 232.00000, 22478.00000
2323.46000, 232.00000, 22414.00000
2323.51000, 232.00000, 22402.00000
2323.56000, 233.00000, 22476.00000
2323.61000, 233.00000, 22424.00000
2323.66000, 233.00000, 22432.00000
2323.71000, 230.00000, 22408.00000
2323.76000, 232.00000, 22318.00000
2323.81000, 232.00000, 22404.00000
2323.86000, 233.00000, 22366.00000
2323.91000, 232.00000, 22440.00000
2323.96000, 229.00000, 22464.00000
2324.01000, 232.00000, 22340.00000
2324.05000, 234.00000, 22508.00000
2324.11000, 230.00000, 22392.00000
2324.16000, 223.00000, 22488.00000
2324.21000, 232.00000, 22380.00000
2324.26000, 233.00000, 22536.00000
2324.31000, 232.00000, 22464.00000
2324.35000, 233.00000, 22348.00000
2324.41000, 231.00000, 22390.00000
2324.46000, 231.00000, 22468.00000
2324.51000, 233.00000, 22394.00000
2324.56000, 232.00000, 22482.00000
2324.61000, 231.00000, 22386.00000
2324.66000, 234.00000, 22410.00000
2324.71000, 233.00000, 22390.00000
2324.76000, 233.00000, 22492.00000
2324.81000, 230.00000, 22450.00000
2324.86000, 231.00000, 22442.00000
2324.91000, 232.00000, 22388.00000
2324.96000, 231.00000, 22434.00000
